Identifier;DimensionGroupId;DimensionId;Index;Title;Description
10000;;Leeftijd;1;Totaal;
441201;;Leeftijd;2;jonger dan 14 jaar;
80017;;Leeftijd;3;14 tot 16 jaar;
53070;;Leeftijd;4;16 tot 18 jaar;
99999;;Leeftijd;5;leeftijd onbekend;
