Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/82045NED;https://dataportal.cbs.nl/detail/CBS/82045NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/82045NED;https://dataportal.cbs.nl/detail/CBS/82045NED;nl
